execution_count,companyId,companyName,month
8925,404,MONGO'S,2025-03
3494,745,Mail Boxes Etc,2025-03
512,940,Mardis,2025-03
3533,1950,Marriott,2025-03
50111,405,Massline,2025-03
617,1648,Medexcard,2025-03
228,2043,Morphosis,2025-03
14,339,Movil Group,2025-03
167,2019,NATURALESMEJOR S.A.,2025-03
1073,1482,Naturisa,2025-03
1525557,147,Netlife,2025-03
7,1658,Nutricionista Verónica Martínez,2025-03
271,1962,Ondu Cloud,2025-03
3440,1480,Oriental,2025-03
1,2176,PROALCONSULTING,2025-03
4,1379,Pocket Tienda Prototipo,2025-03
3,1547,PopCornComunication,2025-03
1,2017,Punta Azul,2025-03
361270,54,Pycca,2025-03
870,1903,Rabbit,2025-03
702,1633,SaludSA,2025-03
369263,123,Security Data,2025-03
488,1845,Seguros Confianza,2025-03
720,358,Seguros Liberty,2025-03
42,452,Seguros Pacífico,2025-03
716,1984,Semvra,2025-03
1152,1566,Siigo,2025-03
62,1811,Sistecrédito,2025-03
63697,1761,Solca,2025-03
17,1865,Start Co,2025-03
1331,1641,Supreme Ventures,2025-03
329,1384,Talento Humano,2025-03
3,1810,TeFío Shop,2025-03
43,382,Team APPS,2025-03
20419,1844,Tienda Branchos,2025-03
43,1946,Total Education Program,2025-03
33460,183,Tracklink,2025-03
1835,1880,TransSky,2025-03
1683,1953,TuSupperAhorro,2025-03
9272,823,Tuenti POC,2025-03
14421,1890,Tuenti Vendedores,2025-03
44,807,Universidad de las Artes,2025-03
161,2089,VIRTUALTEK,2025-03
142029,95,Veris,2025-03
3,1942,Viaxperta,2025-03
56,1860,Vitapro,2025-03
340,1133,Vivalia,2025-03
258329,1696,XTRIM,2025-03
4590,353,Yomp,2025-03
141,1964,ZHM Seguros,2025-03
75,2236,11 Gallery Tattoo,2025-04
25,1102,Agritop,2025-04
6,1562,Aldeamo,2025-04
2,1642,Alianza del Valle,2025-04
705,2031,Alpha Trading,2025-04
595,462,Ambiente QA,2025-04
44,1896,Arca Continental Argentina,2025-04
139841,362,Arca PE,2025-04
216,1068,Arca PE Ecommerce,2025-04
25713,470,Arca PE Proyecto Frío,2025-04
158,1940,Arca camiones,2025-04
826,1849,Arca movil,2025-04
21,2233,Arca pe Turbo,2025-04
37,317,Aurea,2025-04
10309,2183,Automekano,2025-04
757,1974,BCP Cobranza,2025-04
121,2156,BCP Cuenta Sueldo,2025-04
914,1973,BCP Sendsei,2025-04
12853,1245,BG - Banco del Barrio 2,2025-04
24292,741,Bajaj,2025-04
10936,1584,Banco Comercial Manabí,2025-04
67,1993,Banco Delta,2025-04
2418883,155,Banco Guayaquil,2025-04
1,1919,Banco Internacional Hackaton,2025-04
2594,1737,Banco Union,2025-04
1250,133,Banco del Austro,2025-04
33705,417,Banisi,2025-04
116626,692,Banisi Chat,2025-04
13,2010,Base Pocket Account,2025-04
2091,11,BdP,2025-04
175,2079,Borja Cedeño Olga Raquel,2025-04
6,1649,Bruno,2025-04
24,2047,CBC,2025-04
7290,1848,CIVE,2025-04
75,2111,Calle Tenorio Jorge David,2025-04
25338,138,Cervecería Nacional,2025-04
150,75,Chubb,2025-04
81,1898,Cibernetica,2025-04
5,1847,Ck Comercializadora,2025-04
58949,1559,Coca Cola en tu hogar,2025-04
1078,2048,Coca-Cola FEMSA,2025-04
721,2255,Computron,2025-04
765,2049,Conauto,2025-04
91,1992,Contapro BCP,2025-04
1997,1694,Cooperativa Daquilema,2025-04
29370,855,Cooperativa El Sagrario,2025-04
35,1881,Cooperativa Policía Nacional,2025-04
312,1760,Danec,2025-04
632,35,Datafast,2025-04
958,1926,Datilmedia S.A.,2025-04
1,1531,Dave The Magical Cheese Wizard,2025-04
185,2230,Demo partners,2025-04
306417,150,Deprati,2025-04
12,1602,Descuentos y Beneficios,2025-04
1456,5,DevLab,2025-04
45,1512,Dialogus,2025-04
19095,110,Dipaso,2025-04
8,1304,Doctorio,2025-04
874,2073,Donutterapia,2025-04
240,2235,Dreamers Fútbol Club,2025-04
1864,1945,Duragas,2025-04
