companyId,week_end_sunday,conversationType,event_count,billable_count
35,2025-11-02,UTILITY,8511,8232
35,2025-11-09,MARKETING,61,61
35,2025-11-09,MARKETING_LITE,5378,5378
35,2025-11-09,UTILITY,6078,5890
35,2025-11-16,MARKETING,28,28
35,2025-11-16,MARKETING_LITE,7052,7052
35,2025-11-16,UTILITY,7202,6954
35,2025-11-23,MARKETING,14,14
35,2025-11-23,MARKETING_LITE,13740,13740
35,2025-11-23,UTILITY,10256,9910
35,2025-11-30,MARKETING_LITE,10631,10631
35,2025-11-30,UTILITY,8883,8586
35,2025-12-07,MARKETING_LITE,8527,8427
35,2025-12-07,UTILITY,7321,6953
35,2025-12-14,MARKETING_LITE,55443,55064
35,2025-12-14,UTILITY,8112,7532
35,2025-12-21,MARKETING_LITE,7854,7523
35,2025-12-21,UTILITY,7410,6867
35,2025-12-28,MARKETING_LITE,6222,5656
35,2025-12-28,UTILITY,5447,5042
35,2026-01-04,MARKETING_LITE,4118,3735
35,2026-01-04,UTILITY,3550,3228
35,2026-01-11,MARKETING_LITE,7652,7374
35,2026-01-11,UTILITY,8860,8245
35,2026-01-18,MARKETING_LITE,14359,14324
35,2026-01-18,UTILITY,9601,9066
35,2026-01-25,MARKETING_LITE,7364,7342
35,2026-01-25,UTILITY,10244,9917
35,2026-02-01,MARKETING_LITE,16771,16765
35,2026-02-01,UTILITY,10355,10017
35,2026-02-08,MARKETING_LITE,6578,6577
35,2026-02-08,UTILITY,10425,10134
35,2026-02-15,MARKETING_LITE,12923,12923
35,2026-02-15,UTILITY,8912,8682
35,2026-02-22,MARKETING_LITE,4846,4845
35,2026-02-22,UTILITY,6795,6604
35,2026-03-01,MARKETING_LITE,13001,12996
35,2026-03-01,UTILITY,9812,9565
35,2026-03-08,MARKETING_LITE,2681,2680
35,2026-03-08,UTILITY,4442,4293
54,2025-07-06,UTILITY,1315,1213
54,2025-07-13,MARKETING_LITE,18305,18305
54,2025-07-13,UTILITY,5809,5629
54,2025-07-20,MARKETING_LITE,6323,6323
54,2025-07-20,UTILITY,1604,1449
54,2025-07-27,MARKETING_LITE,15,15
54,2025-07-27,UTILITY,2268,2161
54,2025-08-03,UTILITY,1540,1402
54,2025-08-10,MARKETING_LITE,329,329
54,2025-08-10,UTILITY,7552,7352
54,2025-08-17,MARKETING_LITE,14817,14817
54,2025-08-17,UTILITY,1698,1520
54,2025-08-24,MARKETING_LITE,41,41
54,2025-08-24,UTILITY,1668,1484
54,2025-08-31,MARKETING_LITE,7713,7713
54,2025-08-31,UTILITY,3855,3595
54,2025-09-07,MARKETING_LITE,77,77
54,2025-09-07,UTILITY,7811,7585
54,2025-09-14,MARKETING_LITE,319,319
54,2025-09-14,UTILITY,2040,1752
54,2025-09-21,MARKETING_LITE,8024,8024
54,2025-09-21,UTILITY,1808,1588
54,2025-09-28,MARKETING_LITE,154,154
54,2025-09-28,UTILITY,4083,3886
54,2025-10-05,MARKETING_LITE,41,41
54,2025-10-05,UTILITY,2126,1877
54,2025-10-12,MARKETING_LITE,10878,10878
54,2025-10-12,UTILITY,8369,8170
54,2025-10-19,MARKETING_LITE,2843,2843
54,2025-10-19,UTILITY,2002,1820
54,2025-10-26,MARKETING_LITE,1989,1989
54,2025-10-26,UTILITY,4180,3876
54,2025-11-02,MARKETING_LITE,16367,16367
54,2025-11-02,UTILITY,2385,2032
54,2025-11-09,MARKETING_LITE,9897,9897
54,2025-11-09,UTILITY,9564,9193
54,2025-11-16,MARKETING_LITE,13277,13277
54,2025-11-16,UTILITY,3819,3316
54,2025-11-23,MARKETING_LITE,236,236
54,2025-11-23,UTILITY,3830,3291
54,2025-11-30,MARKETING_LITE,176,176
54,2025-11-30,UTILITY,6276,5817
54,2025-12-07,MARKETING_LITE,84,65
54,2025-12-07,UTILITY,9756,9218
54,2025-12-14,MARKETING_LITE,20716,20699
54,2025-12-14,UTILITY,3110,2669
54,2025-12-21,MARKETING_LITE,102,67
54,2025-12-21,UTILITY,3420,2894
54,2025-12-28,MARKETING_LITE,164,23
54,2025-12-28,UTILITY,3091,2565
54,2026-01-04,MARKETING_LITE,108,10
54,2026-01-04,UTILITY,1374,1155
54,2026-01-11,MARKETING_LITE,84,27
54,2026-01-11,UTILITY,7059,6696
54,2026-01-18,MARKETING_LITE,8930,8930
54,2026-01-18,UTILITY,1795,1458
