execution_count,companyId,companyName,week_end_sunday,MARKETING,UTILITY,AUTHENTICATION,dau_count,unique_users_count,connect_licenses,signups,self_service,enterprise,other_plans
43.0,35,Datafast,2025-01-19,0.0,0.0,0.0,128.0,117.0,0.0,7.0,0.0,7.0,0.0
20514.0,54,Pycca,2025-01-19,0.0,0.0,0.0,563.0,543.0,0.0,7.0,0.0,7.0,0.0
27054.0,95,Veris,2025-01-19,0.0,0.0,0.0,1911.0,1667.0,0.0,7.0,0.0,7.0,0.0
15.0,110,Dipaso,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
0.0,121,Unknown,2025-01-19,0.0,0.0,0.0,2.0,2.0,0.0,7.0,0.0,7.0,0.0
201.0,124,GEA Ecuador,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
1.0,133,Banco del Austro,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
139.0,135,Jelou Dev,2025-01-19,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,7.0,0.0
10015.0,138,Cervecería Nacional,2025-01-19,0.0,0.0,0.0,1910.0,1547.0,0.0,7.0,0.0,7.0,0.0
400.0,147,Netlife,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
55477.0,150,Deprati,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
447285.0,155,Banco Guayaquil,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
446.0,258,Luzverde,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
0.0,316,Unknown,2025-01-19,0.0,0.0,0.0,40.0,39.0,0.0,7.0,0.0,7.0,0.0
24.0,317,Aurea,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
341.0,322,Jelou Shop,2025-01-19,0.0,0.0,0.0,31.0,22.0,0.0,7.0,0.0,7.0,0.0
156.0,331,Jelou Producto,2025-01-19,0.0,0.0,0.0,42.0,33.0,0.0,7.0,0.0,7.0,0.0
43.0,353,Yomp,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
1436.0,361,Jelou Pay,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
16680.0,362,Arca PE,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
1430.0,404,MONGO'S,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
10770.0,405,Massline,2025-01-19,0.0,0.0,0.0,19.0,19.0,0.0,7.0,0.0,7.0,0.0
43.0,417,Banisi,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
12.0,452,Seguros Pacífico,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
19.0,462,Ambiente QA,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
4822.0,470,Arca PE Proyecto Frío,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
11388.0,692,Banisi Chat,2025-01-19,0.0,0.0,0.0,1863.0,1719.0,0.0,7.0,0.0,7.0,0.0
20.0,745,Mail Boxes Etc,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
21.0,807,Universidad de las Artes,2025-01-19,0.0,0.0,0.0,27.0,27.0,0.0,7.0,0.0,7.0,0.0
1464.0,823,Tuenti POC,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
41.0,930,Banco Bolivariano Cobranzas,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
186.0,935,Lavca,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
62.0,940,Mardis,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
236.0,965,Livansud,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
1.0,967,N5,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
701.0,997,La Finestra SAS,2025-01-19,0.0,0.0,0.0,198.0,190.0,0.0,7.0,0.0,7.0,0.0
9.0,1053,EclipSoft,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
8.0,1068,Arca PE Ecommerce,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
8.0,1102,Agritop,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
4046.0,1245,BG - Banco del Barrio 2,2025-01-19,0.0,0.0,0.0,899.0,780.0,0.0,7.0,0.0,7.0,0.0
24.0,1266,Katherine del Carmen Ovando,2025-01-19,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,7.0,0.0
8.0,1280,Gea Colombia,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
5.0,1329,Nutrarte,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
3.0,1379,Pocket Tienda Prototipo,2025-01-19,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,7.0,0.0
55.0,1384,Talento Humano,2025-01-19,0.0,0.0,0.0,23.0,20.0,0.0,7.0,0.0,7.0,0.0
386.0,1480,Oriental,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
327.0,1482,Naturisa,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
22741.0,1559,Coca Cola en tu hogar,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
8.0,1562,Aldeamo,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
18.0,1566,Siigo,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
1.0,1569,CANTEC,2025-01-19,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,7.0,0.0
810.0,1584,Banco Comercial Manabí,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
162.0,1602,Descuentos y Beneficios,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
26.0,1641,Supreme,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
14.0,1649,Bruno,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
26.0,1652,Expoplaza,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
1105.0,1694,Cooperativa Daquilema,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
1035.0,1696,XTRIM,2025-01-19,0.0,0.0,0.0,8.0,3.0,0.0,7.0,0.0,7.0,0.0
5607.0,1718,Kaufmann,2025-01-19,0.0,0.0,0.0,580.0,562.0,0.0,7.0,0.0,7.0,0.0
70.0,1737,Banco Union,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
4.0,1741,Toledano,2025-01-19,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,7.0,0.0
293.0,1743,Distrikia,2025-01-19,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,7.0,0.0
34.0,1758,Finanza AI,2025-01-19,0.0,0.0,0.0,15.0,8.0,0.0,7.0,0.0,7.0,0.0
12941.0,1760,Danec,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
6229.0,1761,Solca,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
6.0,1794,ARCA ARG,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
12.0,1808,Daiesa,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
116.0,1811,Sistecrédito,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
